"hsa00053","hsa00061","hsa00071","hsa00120","hsa00130","hsa00190","hsa00240","hsa00280","hsa00430","hsa00500","hsa00511","hsa00532","hsa00533","hsa00561","hsa00563","hsa00591","hsa00592","hsa00601","hsa00650","hsa00670","hsa00750","hsa00760","hsa00780","hsa00830","hsa00900","hsa00920","hsa00970","hsa01040","hsa02010","hsa03008","hsa03013","hsa03015","hsa03018","hsa03020","hsa03022","hsa03030","hsa03040","hsa03410","hsa03420","hsa03440","hsa03450","hsa04020","hsa04024","hsa04066","hsa04071","hsa04072","hsa04110","hsa04115","hsa04120","hsa04122","hsa04130","hsa04136","hsa04137","hsa04142","hsa04144","hsa04146","hsa04150","hsa04152","hsa04218","hsa04270","hsa04310","hsa04340","hsa04392","hsa04510","hsa04512","hsa04514","hsa04530","hsa04610","hsa04657","hsa04662","hsa04664","hsa04721","hsa04723","hsa04725","hsa04726","hsa04740","hsa04750","hsa04911","hsa04916","hsa04919","hsa04925","hsa04926","hsa04930","hsa04961","hsa04962","hsa04971","hsa04974","hsa04978"
"UGT1A8","ACSL5","ADH7","CYP39A1","VKORC1","COX4I1","CANT1","ALDH1B1","BAAT","AMY1C","HEXA","CHST11","B4GALT4","AGPAT6","PIGF","CYP2J2","PLA2G2C","FUT5","HADH","MTHFD1L",,"NT5C",,"ADH5","HMGCS1","PAPSS1","EPRS","HSD17B12","CFTR","RNA5S10","TACC3","CLP1","EXOSC6","ZNRD1","GTF2A2","MCM3","PPIH","POLL","ERCC3","ATM","DCLRE1C","PLCD3","CFTR","EGFR","MAPK14","ADCY2","CDKN2B","DDB2","WWP2",,"BET1L","ATG9B","E2F1","AP3S1","STAM2","AGXT","SLC38A9","CPT1B","TRAF3IP2","ADCY1","CSNK1E","ADRBK1","LATS2","COL1A1","COL4A5","CD226","MYL12A","A2M","DEFB4A","AKT2","FCER1A","CLTC","ADCY8","CHRM1","CYP2C9","OR51F2","PLA2G4E","CHRM3","ADCY9","DIO1","CREB1","ADCY7","PDX1","AP2B1","DCTN1","ADCY9","COL4A2","FTL"
"UGT1A7","OXSM","CPT1A","BAAT","COQ5","COX5B","CMPK2","ALDH9A1","ADO","AMY2A","HEXB","CHST15","B4GALT3","DGKK","PIGH","CYP3A4","PLA2G3","FUT6","HMGCL","GART",,"AOX1",,"ADH6","HMGCS2",,"FARSA","PTPLAD1","ABCB8","RNA5S11","NXF1","NUDT21","NUDT16","POLR1D","GTF2B","MCM4","CHERP","HMGB1","ERCC4","SYCP3","XRCC4","CHRM3","ADCY3","EIF4E","CTSD","ADCY3","CDKN2C","GADD45A","UBE2C",,"STX18","PIK3R4","PGAM5","TPP1","ARPC1A","ECH1","DVL1","CREB1","GADD45G","ADCY2","CSNK2A1","ADRBK2","NF2","COL1A2","COL4A6","CLDN16","CLDN16","F2","ELAVL1","FCGR2B","MS4A2","ATP6V1G3","ADCY9","CHRM2","CYP2C18","OR52R1","MAPK14","ADCY8","CREB1","DIO2","ATF2","ADCY8","IRS1","DNM1","DYNC1H1","SLC26A7","COL4A3","STEAP2"
"UGT1A6","OLAH","CPT1B","SCP2",,"COX6A1","UPRT","ALDH3A2",,"AMY2B","MAN2C1","CHPF2","B4GALT2","GPAT2","PIGG","ALOX15","ACOX1","FUT7","HMGCS1","AMT",,"NMNAT3",,"ADH7","IDI1",,"LARS2","ELOVL2","ABCC2","RNA5S12","RPP30","CPSF6","PABPC4L","POLR3K","GTF2E1","MCM5","SLU7","APEX1","ERCC5","UIMC1","XRCC5","CHRM5","RAPGEF4","EIF4EBP1","SGMS2","RAPGEF4","CDKN2D","RCHY1","BIRC8",,"STX17","IGBP1","RRAS2","CLN3","ARFGEF2","EHHADH","DVL2","ADRA1A","CHEK1","ADCY3","CSNK2A2","EVC","PAK1","COL2A1","COL6A1","CNTN1","CFTR","F2R","MAPK15","FOS","FCER1G","SLC32A1","NDUFA11","ADCY7","CYP2D6","OR4C46","CYP2J2","ADCY9","CREBBP","DIO3","ATF6B","ADCY9","KCNJ11","DNM2","DYNC1I1","CALML6","COL4A4","STEAP1"
"UGT1A5","ACSBG2","CPT2","AKR1D1",,"COX6A2","CTPS1","IL4I1",,"GPI","MAN2B1","CSGALNACT2","B3GNT7","MBOAT1","PIGX","PLA2G4F","PLA2G1B","GCNT2","HMGCS2","MTHFD2L",,"NNMT",,"RDH12","ACAT1",,"HARS2","PECR","ABCA13","RNA5S13","RPP38","MSI2","PABPC5","POLR2A","GTF2E2","MCM6","PRPF8","LIG1","ERCC6","POLD1","NHEJ1","CHRNA7","ADCY5","ENO1","S1PR1","ADCY5","ANAPC10","BBC3","ERCC8",,"USE1","BECN2","MRAS","CLN5","ARFGEF1","PAOX","DVL3","CREB3L4","CHEK2","ADCY5","CSNK2B","FBXW11","DCHS2","COL4A1","COL6A2","CLDN4","BVES","F2RL2","TAB2","RASGRP3","ALOX5","ATP6V0E2","CNR1","CHRM3","CYP2J2","OR4X2","TRPV3","ADCYAP1","CREB3L4","RCAN1","CREB3L4","RLN3","MAFA","ESR1","DYNC1I2","ADCY4","COL4A5","SLC40A1"
"UGT1A9",,"CYP4A11","HSD3B7",,"COX6B1","UPP2","HIBCH",,"PGM2L1","MANBA","CHST12","CHST2","DGKA","PIGV","PLA2G2D","PLA2G2A","B4GALT1","ACSM4","MTHFD1",,"PNP",,"CYP1A1","ACAT2",,"PARS2","BAAT","ABCA1","RNA5S14","PAIP1","PABPC4L","PNLDC1","POLR2B","GTF2F1","MCM7","USP39","LIG3","GTF2H1","POLD2",,"ADCY8","ADCY6","ENO2","S1PR3","ADCY6","MAD2L2","SESN1","UBE2J2",,"BNIP1","PIK3C3","FOXO3","CLTA","STAMBP","EPHX2","EIF4B","EEF2","LIN54","ADCY6","NOTUM","GPR161","MOB1A","COL4A2","COL6A3","CLDN3","TUBA3E","F3","FOS","DAPP1","ALOX5AP","AP2A1","SLC32A1","CHRM4","DDC","OR4B1","CALML6","ADCYAP1R1","CTNNB1","EP300","CYP11A1","RXFP2","PIK3CA","PLCB1","DYNC1LI2","PLCB1","COL4A6","HMOX1"
"UGT1A4",,"ECI1","ACOX2",,"COX6C","DCK","ACAD8",,"GYG1","NEU1","CSGALNACT1",,"DGKB","PGAP1","PLA2G4D","PLA2G4A","ABO","ACSM2B","MTHFR",,"NT5E",,"CYP1A2","MVD",,"GARS","ELOVL5","ABCA2","RNA5S15","NUP50","PABPC5","DDX6","POLR2C","GTF2F2","PCNA","SRSF10","MPG","GTF2H2","POLD4",,"ADCY9","CHRM1","ENO3","CERS3","ADCY7","STAG2","SFN","UBE2QL1",,"STX1A","ATG16L1","GABARAPL1","CLTB","RAB10","ABCD1","EIF4E","EIF4EBP1","MAPK14","ADCY7","CTBP1","GAS1","SAV1","COL4A3","COL9A1","CLDN7","TUBA3D","F5","FOSB","GRB2","FYN","AP2A2","MAPK14","CHRM5","HTR3C","OR52M1","ADCY4","CREB1","CALML6","AKT1","CYP11B2","COL1A1","PIK3CB","ATP1B4","GNAS","ATP1B4","COL5A1","HMOX2"
"UGT1A1",,"ECHS1","CH25H",,"COX7A1","DCTD","ACAA1",,"GYS1","NEU2","CHST7",,"DGKG","PIGZ","PLA2G2E","PLA2G5","A4GALT","ACADS","MTR",,"NT5C3A",,"CYP2A6","MVK",,"GATC","SCD","ABCA3","RNA5S16","POP4","CSTF1","DCP2","POLR2D","GTF2H1","POLE3","TXNL4A","MUTYH","GTF2H3","BARD1",,"ADORA2A","CHRM2","EP300","AKT1","ADCY8","PTTG2","APAF1","UBE2F",,"STX3","WIPI1","BCL2L13","CLTC","EHD1","ACSL1","EIF4EBP1","ELAVL1","RAD9B","ADCY8","CTBP2","GLI1","STK3","COL4A4","COL9A2","CLDN23","SYNPO","F7","IL17RA","GSK3B","PLA2G4F","AP2B1","ADCY4","CHRNA3","DUSP1","OR52K2","F2RL1","ATF2","DCT","AKT2","CYP21A2","COL1A2","PIK3CD","DNM3","AQP2","GAST","COL5A2","SLC6A19"
"UGT1A3",,"EHHADH","CYP7B1",,"COX7A2","POLR3H","HSD17B10",,"GYS2","GBA2","XYLT1",,"DGKH","PIGO","PLA2G2C","PLA2G2F","ST3GAL4","ACAT1","ATIC",,"ENPP1",,"CYP3A7","PCYOX1",,"HARS","ACOT1","ABCD1","RNA5S17","RPP40","CSTF2","DHX36","POLR2E","GTF2H2","POLA1","TCERG1","NTHL1","GTF2H4","RAD51",,"ADORA2B","ADCY7","EPO","AKT2","ADCY9","GADD45G","IGF1","UBE2U",,"STX4","ATG2B","CSNK2A3","AP1S3","RAB35","ACSL3","FLCN","CRTC2","HIPK4","ADCY9","CTNNB1","GLI2","TEAD1","COL4A5","COL9A3","VCAN","WHAMM","F8","TAB3","BLNK","LAT","DNM1","GABRR3","CHRNA4","HTR3D","OR5P2","PLCB1","ATF6B","DVL1","ESR1","CALML6","COL3A1","PIK3R1","GNAQ","AQP3","GNAI1","COL6A1","MT1A"
"MIOX",,"ALDH2",,,"COX7B","DHODH","HADHA",,"HK1","ENGASE","XYLT2",,"DGKQ","PIGY","PLA2G3","PLA2G12A","ST3GAL3","ACAT2","SHMT1",,"ENPP3",,"CYP2B6","PDSS2",,"IARS","ELOVL6","ABCB7","putative exonuclease GOR","RNPS1","CSTF3","DCP1B","POLR2F","GTF2H3","POLD1","SRSF8","OGG1","RPA4","RAD51C",,"ADRA1D","ADCY8","ERBB2","FCER1A","PLA2G4E","DBF4","IGFBP3","DDB1",,"STX5","PPP2CA","ATG9B","HGSNAT","RAB31","ACSL4","AKT1","AKT1","CALML6","PLA2G4E","PRICKLE2","GLI3","TEAD4","COL4A6","COMP","CTLA4","CLDN4","F9","IL17C","HRAS","PLA2G4D","DNM2","FAAH","CHRNA7","PLCB1","OR5P3","ALOX12","GPR119","DVL2","FOXO1","AGTR1","COL4A1","PIK3R2","GNAS","AQP4","GNAI2","COL6A2","MT1B"
"UGT2A2",,"ACSL1",,,"COX7C","DPYD","HADHB",,"HK2",,"CHPF",,"PPAPDC1A","GPAA1","PLA2G1B","ACOX3","ST8SIA1","OXCT1","SHMT2",,"NMRK1",,"CYP2C8","DHDDS",,"KARS","SCD5","ABCD2","RCL1","POP1","ETF1","ENO1","POLR2G","GTF2H4","POLD2","SF3A3","PCNA","LIG1","RAD51B",,"ADRA1B","ADCY9","AKT1","MS4A2","DGKK","YWHAQ","FAS","DDB2",,"VAMP1","PPP2CB","TBK1","CTNS","WWP1","ABCD2","AKT2","AKT2","GADD45A","ADORA2A","DVL1","GSK3B","TEAD3","COL6A1","COL6A6","CLDN19","CLDN3","F10","IL17B","IKBKB","GRB2","STX2","DAGLB","ADCY8","ALOX12","OR8I2","PLA2G4F","CREB3L4","DVL3","PLCB1","ADCY4","COL4A2","PKLR","KLK1","ARHGDIA","GNAI3","COL6A3","MT1E"
