SampleGroup,RNASeq1,RNAseq2,Value
ER+,CALD1_3,CHST3_3,-0.127574876306398
ER+,PDCD1_3,CD72_3,-0.126321360936997
ER+,PTTG1_3,TTK_3,-0.126166780414508
ER+,HCN4_3,GP1BB_3,-0.125272602710417
ER+,ABCB1_3,CH25H_3,-0.124646257884783
ER+,IL4I1_3,LILRB3_3,-0.124182546613933
ER+,ABCA6_3,F10_3,-0.122678610336846
ER+,PTPRC_3,CTLA4_3,-0.120905170267373
ER+,IL2RA_3,GRIN3A_3,-0.120588269235849
ER+,PTPRC_3,CD79A_3,-0.120219686100473
ER+,PDCD1_3,CTSC_3,-0.1198805012584
ER+,BUB1B_3,MAD2L1_3,-0.118882743637991
ER+,GTSE1_3,MYBL2_3,-0.117312412282526
ER+,LILRB3_3,CYBB_3,-0.116971565951043
ER+,GLI2_3,CYP7B1_3,-0.116733412303532
ER+,TLR4_3,LAPTM5_3,-0.116617046404473
ER+,BUB1B_3,PKMYT1_3,-0.115464741727171
ER+,UBE2C_3,MAD2L1_3,-0.113875417810046
ER+,IL4I1_3,STAT1_3,-0.11370260881852
ER+,LCP2_3,CCL2_3,-0.113573032416119
ER+,PTPRC_3,SPN_3,-0.112013753704561
ER+,SF3A2_3,MAFA_3,-0.111692164390499
ER+,BUB1B_3,GTSE1_3,-0.110585615203369
ER+,BLM_3,TTK_3,-0.110438177028747
ER+,HLA-DOA_3,CCR5_3,-0.109867131051664
ER+,GTSE1_3,UBE2C_3,-0.109424517011541
ER+,RAD54L_3,TTK_3,-0.108110495791552
ER+,PDCD1_3,GRIN3A_3,-0.108035349000644
ER+,PTTG1_3,CDC6_3,-0.107378164187018
ER+,IL2RA_3,LCP2_3,-0.106716443521823
ER+,TLR4_3,C3AR1_3,-0.103234278140796
ER+,PTTG1_3,MAD2L1_3,-0.102110085446778
ER+,LCP2_3,TRPV2_3,-0.100921672575376
ER+,FOXM1_3,TTK_3,-0.100568248712298
ER+,HLA-DOA_3,CD72_3,-0.0997080303636623
ER+,LAPTM5_3,CTSB_3,-0.0993143521097238
ER+,BLM_3,BUB1B_3,-0.0975301408015833
ER+,CALD1_3,FLNA_3,-0.097312765583792
ER+,ABCA6_3,PTPRM_3,-0.0969872800681859
ER+,GLI2_3,PROS1_3,-0.096649973959508
ER+,WIPF1_3,LCP2_3,-0.0955467974450877
ER+,LAPTM5_3,PLAUR_3,-0.0950624458510323
ER+,WIPF1_3,CD72_3,-0.0946264363152316
ER+,EHD2_3,GLI2_3,-0.0934252894662294
ER+,SOX17_3,GP1BB_3,-0.0925459888841505
ER+,ABCA6_3,CTSO_3,-0.0924066402017107
ER+,ABCB1_3,GABRP_3,-0.0916732068597275
ER+,PIK3AP1_3,PTGER4_3,-0.0893396485598674
ER+,BLM_3,MAD2L1_3,-0.0886497132205889
ER+,ABCA6_3,SLC40A1_3,-0.0875593463187442
ER+,FOXM1_3,PLK1_3,-0.087149880057063
ER+,BUB1B_3,CDC25C_3,-0.0857655207601309
ER+,IL2RA_3,CD80_3,-0.0854403987009566
ER+,UBE2C_3,FOXM1_3,-0.0847533304810423
ER+,CD79A_3,CD8B_3,-0.0847523609641606
ER+,BLM_3,UBE2C_3,-0.0837165274176543
ER+,C3_3,HGF_3,-0.0826093808016505
ER+,FOXM1_3,MAD2L1_3,-0.0820452221688084
ER+,TLR4_3,STX11_3,-0.0818035811333713
ER+,BUB1B_3,DBF4_3,-0.081137647688629
ER+,PTPRC_3,LILRB3_3,-0.0795064374002965
ER+,SOX17_3,COL14A1_3,-0.079281849225139
ER+,GLI2_3,GABRP_3,-0.0791528911694612
ER+,BLM_3,FOXM1_3,-0.0780203551856856
ER+,GTSE1_3,TK1_3,-0.0775830264153154
ER+,CALD1_3,NPR2_3,-0.0772129094546666
ER+,HCN4_3,HCN2_3,-0.0762199244996732
ER+,ABCC11_3,SLC7A8_3,-0.0761985486482057
ER+,PRR5_3,GP1BB_3,-0.0747558459714038
ER+,ABCB1_3,COL14A1_3,-0.0739225294047916
ER+,TLR4_3,PIK3AP1_3,-0.0727156377990966
ER+,RAD54L_3,FOXM1_3,-0.0714634171050025
ER+,IL2RA_3,CTSC_3,-0.070223819604617
ER+,LILRB3_3,PARVG_3,-0.068783178280504
ER+,WIPF1_3,PIK3AP1_3,-0.0684809585803625
ER+,IL4I1_3,C2_3,-0.0656883570920904
ER+,WIPF1_3,TRPV2_3,-0.0647577295397366
ER+,BUB1B_3,FOXM1_3,-0.0616246471474688
ER+,LCP2_3,CTSC_3,-0.0609906983151102
ER+,ABCB1_3,PROS1_3,-0.0607104303085195
ER+,ABCA8_3,GLI2_3,-0.0606023167683522
ER+,PTTG1_3,UBE2C_3,-0.0605908633806267
ER+,LAPTM5_3,LILRB3_3,-0.0587870928564702
ER+,PRICKLE2_3,SLC7A8_3,-0.0587518726556742
ER+,IL4I1_3,LCP2_3,-0.0585349756999685
ER+,BLM_3,RAD54L_3,-0.0580055760218274
ER+,LCP2_3,CD86_3,-0.0577586203361148
ER+,TLR4_3,DPYD_3,-0.0572913318495855
ER+,GTSE1_3,TACC3_3,-0.0572204341375032
ER+,COL14A1_3,CD1C_3,-0.0560951769704873
ER+,GTSE1_3,FOXM1_3,-0.0560144218948255
ER+,IL2RA_3,PDCD1_3,-0.0552970341475605
ER+,LAPTM5_3,STX11_3,-0.0540818568435985
ER+,LILRB3_3,SELPLG_3,-0.0537859237941911
ER+,TLR4_3,WIPF1_3,-0.0514094957197923
ER+,PTPRC_3,JAK2_3,-0.0494344659929363
ER+,EHD2_3,RAB31_3,-0.0484935993001599
ER+,UBE2E3_3,SERPINF1_3,-0.0457415875536302
ER+,SERPINF1_3,ST8SIA1_3,-0.0450526309201943
ER+,WIPF1_3,CD40_3,-0.0447928637461328
ER+,SNAP23_3,CAPZA2_3,-0.0444084227332159
ER+,LAPTM5_3,WIPF1_3,-0.0441887217632625
ER+,EHD2_3,ELN_3,-0.0405219989742092
ER+,LAPTM5_3,PSAP_3,-0.0397119786358296
ER+,IFITM1_3,CYP21A2_3,-0.0392762405677597
ER+,IL2RA_3,HLA-DOA_3,-0.0389124036818364
ER+,WIPF1_3,CCL2_3,-0.0370007480579452
ER+,CALD1_3,LATS2_3,-0.036038974819256
ER+,WIPF1_3,HLA-DMA_3,-0.0350959397884558
ER+,C3_3,TK1_3,0.0340668821171473
ER+,RPS6KA3_3,ST8SIA1_3,-0.0339811491980837
ER+,CD79A_3,PDCD1LG2_3,-0.0331302999709453
ER+,LILRB3_3,HLA-DMA_3,-0.032296068135585
ER+,TLR4_3,HGF_3,-0.0322572242219853
ER+,PARVG_3,ST8SIA1_3,-0.031591283056932
ER+,WIPF1_3,DSE_3,-0.0298764546397526
ER+,HEPH_3,UBE2E3_3,-0.0279344906640445
ER+,COL14A1_3,ST8SIA1_3,-0.0246860322996756
ER+,GLI2_3,BUB1_3,0.0239546855125133
ER+,SLC7A8_3,CYP21A2_3,-0.0235841723450248
ER+,BUB1_3,PRICKLE2_3,0.0233814861122973
ER+,TLR4_3,LILRB3_3,-0.0223976102365693
ER+,COL14A1_3,TNFAIP3_3,-0.0204009972524675
ER+,HSPG2_3,ELN_3,-0.0199320918840234
ER+,CALD1_3,GPR161_3,-0.0182653206062536
ER+,GABRP_3,GGT1_3,0.0159084978477315
ER+,ATP5B_3,ZFP36L2_3,0.0148321301922572
ER+,RPS6KA3_3,UBE2E3_3,-0.014462447410795
ER+,COL14A1_3,CD79B_3,-0.0133721224067518
ER+,LILRB3_3,LCP2_3,-0.0121642933336662
ER+,CRAT_3,SLC7A8_3,-0.0120114426683675
ER+,ZYX_3,SFRP2_3,-0.0111506258213028
ER+,SNAP23_3,CTSO_3,-0.0106457203237257
ER+,ABCC11_3,PEX11A_3,-0.00821020336180862
ER+,EHD2_3,PRICKLE2_3,-0.00659221825195699
ER+,RPS6KA3_3,CYP7B1_3,-0.00507121433412216
ER+,UBE2E3_3,CTSK_3,-0.00398314534527816
ER+,LILRB3_3,CARD11_3,-0.00251346797394174
ER+,ACTR3_3,CD2_3,-0.00227924562921155
ER+,RAD54L_3,SLC40A1_3,0.00145424195749994
ER+,LILRB3_3,C3_3,-0.0001865739835264
ER+,ABCC11_3,SERPINF1_3,-7.11522887799408e-05
ER+,ZYX_3,SERPINF1_3,-2.27619949604706e-05
ER-,PTPRC_3,ITGAL_3,-0.189536440620719
ER-,PTPRC_3,CD2_3,-0.174754362125687
ER-,PDCD1_3,ICOS_3,-0.161102111671151
ER-,PDCD1_3,CD2_3,-0.159935762722889
ER-,PTPRC_3,CYBB_3,-0.156357811049413
ER-,GP1BB_3,COX6A2_3,-0.154404616651474
ER-,PTPRC_3,IL2RG_3,-0.150318192308919
ER-,PTPRC_3,CTSS_3,-0.148063316658066
ER-,PTPRC_3,PTGER4_3,-0.142480812307778
ER-,LCP2_3,CYBB_3,-0.140498491642713
ER-,HCN4_3,COX6A2_3,-0.138323229126978
ER-,PTPRC_3,CD1C_3,-0.13249693367619
ER-,LAPTM5_3,CYBB_3,-0.131675585941031
ER-,ABCA8_3,C7_3,-0.130420005041562
ER-,LAT_3,PDCD1_3,-0.127095443493874
ER-,PTPRC_3,IL2RB_3,-0.126179059640678
ER-,LAPTM5_3,SLC7A7_3,-0.124922720575593
ER-,PTPRC_3,CD226_3,-0.124864479782702
ER-,PTPRC_3,CD40_3,-0.124615042436122
ER-,ABCC11_3,SLC7A8_3,-0.122374945441445
ER-,GP1BB_3,MAFA_3,-0.1212278547985
ER-,PTPRC_3,STX11_3,-0.12106830882138
ER-,PDCD1_3,IL2RG_3,-0.120167177639803
ER-,CD6_3,PDCD1_3,-0.117211714455925
ER-,PTPRC_3,CD79B_3,-0.114434325703894
ER-,WIPF1_3,HCLS1_3,-0.114430460776869
ER-,SERPINB5_3,SLC7A8_3,0.114002114258381
ER-,SF3A2_3,GP1BB_3,-0.113572777127851
ER-,PDCD1_3,STAT1_3,-0.113009465694956
ER-,LAPTM5_3,CARD11_3,-0.112600785934582
ER-,LAPTM5_3,C3AR1_3,-0.107504850172344
ER-,TLR4_3,CFH_3,-0.107201225376186
ER-,LAPTM5_3,CTSS_3,-0.106124948761232
ER-,IL2RA_3,ICOS_3,-0.105689870591833
ER-,ABCB1_3,SELP_3,-0.104573418951587
ER-,TLR4_3,DPYD_3,-0.104473345541747
ER-,GLI2_3,SFRP2_3,-0.104420646364975
ER-,WIPF1_3,HLA-DMA_3,-0.103473775781755
ER-,CALD1_3,ACTG2_3,-0.102507159738259
ER-,PTPRC_3,CCL2_3,-0.101751764475259
ER-,PTPRC_3,CTLA4_3,-0.101119314916318
ER-,CRAT_3,SLC7A8_3,-0.100221997177296
ER-,SLC7A8_3,BMP4_3,-0.0998340188430891
ER-,PTPRC_3,JAK2_3,-0.0997554653205787
ER-,GP1BB_3,HCN2_3,-0.0966533466697107
ER-,LAPTM5_3,CD68_3,-0.0965213711269855
ER-,PDCD1_3,IL2RB_3,-0.0955245599354092
ER-,ABCA6_3,SELP_3,-0.0949819620255225
ER-,PTPRC_3,CD72_3,-0.0935153774132867
ER-,TLR4_3,PTGER4_3,-0.0934997753179192
ER-,TLR4_3,C3AR1_3,-0.0926614056223642
ER-,ABCC11_3,PEX11A_3,-0.0923880624473984
ER-,PTPRC_3,CD79A_3,-0.0901136513606421
ER-,ABCA8_3,SELP_3,-0.0897971683316129
ER-,LAPTM5_3,CTSB_3,-0.0889197352402441
ER-,CNTNAP2_3,SLC7A8_3,-0.0868020167086047
ER-,LCP2_3,CCL2_3,-0.0867070749785958
ER-,UBE2C_3,MYBL2_3,-0.0846923567424603
ER-,HLA-DOA_3,CCR5_3,-0.0843510429998002
ER-,LAPTM5_3,PARVG_3,-0.084091196097437
ER-,ABCA6_3,SLC40A1_3,-0.0827907772687002
ER-,HLA-DOA_3,HLA-DMA_3,-0.0825949289718488
ER-,PDCD1_3,CD72_3,-0.0820372336013824
ER-,PDCD1_3,CTLA4_3,-0.0820119043711327
ER-,LILRB3_3,CYBB_3,-0.081918785510516
ER-,ABCB1_3,CD1C_3,-0.0798730073166476
ER-,ABCA6_3,CFH_3,-0.0794271108002095
ER-,PDCD1_3,CD8B_3,-0.0783359353754421
ER-,PDCD1_3,CTSC_3,-0.0772463339453349
ER-,WIPF1_3,C2_3,-0.0768810503824937
ER-,HCN4_3,HCN2_3,-0.0763570595503228
ER-,SLC7A8_3,P2RY2_3,-0.0763431953287813
ER-,HCN4_3,GP1BB_3,-0.0751019419320372
ER-,SF3A2_3,MAFA_3,-0.0748480394747984
ER-,LAPTM5_3,STX11_3,-0.0746587936898801
ER-,LCP2_3,TRPV2_3,-0.0746311486321948
ER-,GABRP_3,GGT1_3,0.0741909646274707
ER-,PTPRC_3,SPN_3,-0.0741708583239523
ER-,ABCB1_3,CH25H_3,-0.0737294860602934
ER-,WIPF1_3,STX11_3,-0.0730603903235802
ER-,SLC7A8_3,CYP21A2_3,-0.0728500104660156
ER-,LAPTM5_3,CD72_3,-0.0725860544447826
ER-,ABCA8_3,CH25H_3,-0.072477276065068
ER-,RAD54L_3,SLC40A1_3,0.0723016153668315
ER-,TLR4_3,SUCNR1_3,-0.0705069811619812
ER-,WIPF1_3,LCP2_3,-0.0700251285143546
ER-,BLM_3,TTK_3,-0.0694402731553119
ER-,FOXM1_3,TTK_3,-0.0686097114606544
ER-,LAPTM5_3,ITGAX_3,-0.068490106389779
ER-,HLA-DOA_3,CD72_3,-0.0679537863258879
ER-,PTPRC_3,TNFAIP3_3,-0.0676338239543586
ER-,ABCA8_3,COL14A1_3,-0.0675926123354666
ER-,TAF4B_3,BMP4_3,0.0675670091115395
ER-,LAPTM5_3,TRPV2_3,-0.0663798194499588
ER-,TLR4_3,LAPTM5_3,-0.064345217482996
ER-,BUB1B_3,TTK_3,-0.0631486066174689
ER-,ABCA6_3,CH25H_3,-0.0629958670802085
ER-,WIPF1_3,CCL2_3,-0.0628046364941263
ER-,CD79A_3,PDCD1_3,-0.0624238126845641
ER-,ABCC11_3,RPS6KA2_3,-0.0616660551929152
ER-,TLR4_3,WIPF1_3,-0.0616483748453484
ER-,PDCD1_3,GRIN3A_3,-0.0612245170354707
ER-,TAF4B_3,CRAT_3,0.0603120575870294
ER-,ABCA8_3,CD1C_3,-0.05998953787589
ER-,PRICKLE2_3,SLC7A8_3,-0.0594480377585216
ER-,LCP2_3,CTSC_3,-0.0583713570762596
ER-,SOX17_3,GP1BB_3,-0.0580545159467764
ER-,ABCA6_3,COL14A1_3,-0.0578527692493364
ER-,WIPF1_3,CD40_3,-0.0572371084539297
ER-,PRR5_3,GP1BB_3,-0.0568777927642003
ER-,TLR4_3,HGF_3,-0.0568678962690426
ER-,LILRB3_3,SELPLG_3,-0.0566393128830181
ER-,ABCA6_3,C3_3,-0.0555976403185275
ER-,FOXM1_3,MYBL2_3,-0.0548191423974414
ER-,PTTG1_3,PTTG2_3,-0.0548186281056921
ER-,IL4I1_3,STAT1_3,-0.0545167645377786
ER-,ABCA8_3,TEK_3,-0.0538315695928415
ER-,ICOS_3,PTPLAD2_3,-0.0536817205931397
ER-,WIPF1_3,CD72_3,-0.0523328125119568
ER-,RAD54L_3,TTK_3,-0.0501799389845771
ER-,FOXM1_3,BUB1_3,-0.0498266558775696
ER-,TLR4_3,STX11_3,-0.0496015895787596
ER-,LCP2_3,CD86_3,-0.0491302831504595
ER-,WIPF1_3,PTPRC_3,-0.0482581762454746
ER-,CD226_3,PTPLAD2_3,-0.0481680102792593
ER-,LAT_3,CD8B_3,-0.0468715051233675
ER-,WIPF1_3,TRPV2_3,-0.0465676514444349
ER-,BUB1B_3,BUB1_3,-0.045376584713766
ER-,ABCC11_3,SERPINF1_3,-0.0450095610938601
ER-,IL2RA_3,CD72_3,-0.0439867377577767
ER-,IL2RA_3,LCP2_3,-0.0437661512520967
ER-,UBE2C_3,FOXM1_3,-0.0437518404069065
ER-,RAD54L_3,FOXM1_3,-0.0427899975908916
ER-,LILRB3_3,HLA-DMA_3,-0.0411404425012429
ER-,ATP5B_3,MARS_3,-0.0407683022482051
ER-,CNTNAP2_3,PGM2_3,0.040713271534786
ER-,STAT1_3,PTPLAD2_3,-0.0399046177743406
ER-,CD79A_3,PDCD1LG2_3,-0.0397470061702217
ER-,TAF4B_3,SLC7A8_3,0.0392522001932795
ER-,WIPF1_3,DSE_3,-0.0392019144531881
ER-,GLI2_3,COL14A1_3,-0.0390456101221712
ER-,BLM_3,FOXM1_3,-0.0387234396521225
ER-,PDCD1LG2_3,PTPLAD2_3,-0.0386069961508691
ER-,ABCA6_3,CTSO_3,-0.0383079640803885
ER-,FOXM1_3,MAD2L1_3,-0.0381837158463349
ER-,GLI2_3,ELN_3,-0.0377250693803345
ER-,ABCA8_3,FXYD1_3,-0.0366184663542407
ER-,GTSE1_3,FOXM1_3,-0.0365569179183932
ER-,UBE2C_3,BUB1_3,-0.0363528954729656
ER-,ABCB1_3,COL14A1_3,-0.0361878290102083
ER-,IL4I1_3,C2_3,-0.0360614161134023
ER-,ZYX_3,COL12A1_3,-0.0359988580012307
ER-,LAPTM5_3,PSAP_3,-0.035380845164292
ER-,TAF4B_3,CYP21A2_3,0.034502077533177
ER-,CALD1_3,FLNA_3,-0.0343476530393113
ER-,LAPTM5_3,PIK3AP1_3,-0.0341156235475291
ER-,ICAM1_3,LRRC4_3,0.0335326606752009
ER-,ABCB1_3,CD79B_3,-0.0334968554787889
ER-,BUB1B_3,FOXM1_3,-0.033216842254265
ER-,GABRP_3,ZFYVE16_3,0.0329185499075872
ER-,WIPF1_3,CHST11_3,-0.0327316019986362
ER-,SNAP23_3,CAPZA2_3,-0.0324577214185908
ER-,BUB1_3,PRICKLE2_3,0.0323554605145943
ER-,EHD2_3,ELN_3,-0.0317451631185553
ER-,SERPINB5_3,PGM2_3,-0.0316746663395687
ER-,ST8SIA1_3,ZFYVE16_3,0.0309000353841245
ER-,LILRB3_3,C3_3,-0.0301063458306558
ER-,IL2RA_3,CD80_3,-0.0300562499115131
ER-,ABCA8_3,ABCA6_3,-0.0300325522747116
ER-,CALD1_3,HEPH_3,-0.0298196941393311
ER-,LILRB3_3,CARD11_3,-0.0292316284055888
ER-,IL4I1_3,LCP2_3,-0.0291535038784702
ER-,RAD54L_3,BUB1_3,-0.0288958635762822
ER-,EHD2_3,P2RY2_3,-0.0287027487378524
ER-,ABCA8_3,GLI2_3,-0.0282890938545925
ER-,LILRB3_3,PARVG_3,-0.0281020546923072
ER-,PIK3AP1_3,PTGER4_3,-0.0274594099348252
ER-,ATP5B_3,ZFP36L2_3,0.0270581715256014
ER-,LAPTM5_3,WIPF1_3,-0.0269920935052512
ER-,MARS_3,TUBA1A_3,-0.0268860862760386
ER-,EHD2_3,PRICKLE2_3,-0.0268348298063397
ER-,ATP5B_3,GSPT1_3,-0.0265606915728469
ER-,IFITM1_3,CYP21A2_3,-0.0264521151933505
ER-,BUB1B_3,GTSE1_3,-0.0263959983749016
ER-,RPS6KA2_3,SLC40A1_3,-0.026197318973393
ER-,ABCA6_3,PTPRM_3,-0.026054683393056
ER-,PIK3AP1_3,CTSO_3,-0.0259618279792255
ER-,ZYX_3,SFRP2_3,-0.0254206621922332
ER-,GTSE1_3,MYBL2_3,-0.0245889521899649
ER-,UBE2C_3,TTK_3,-0.0245776326408145
ER-,WIPF1_3,PIK3AP1_3,-0.0241246112581823
ER-,SFRP2_3,LIN9_3,0.0238055790084494
ER-,BLM_3,BUB1B_3,-0.0237764292052022
ER-,BUB1B_3,RAD51_3,-0.0236890525143726
ER-,PTPRC_3,LILRB3_3,-0.0232066019725539
ER-,ABCA8_3,ELN_3,-0.0231681016567335
ER-,IL2RA_3,CTSC_3,-0.0224232517572941
ER-,CALD1_3,LATS2_3,-0.0222896701586975
ER-,TLR4_3,PIK3AP1_3,-0.021597668473153
ER-,SNAP23_3,CTSO_3,-0.0215596860043
ER-,IL2RA_3,PDCD1_3,-0.0213634133194278
ER-,BUB1B_3,UBE2C_3,-0.0198151012477231
ER-,CALD1_3,GLI2_3,-0.019348257083959
ER-,BLM_3,UBE2C_3,-0.019129238953965
ER-,RAD54L_3,SLC7A8_3,0.019112500194687
ER-,DPYD_3,SQRDL_3,-0.0190813970435035
ER-,IL4I1_3,IL2RA_3,-0.0186465212729161
ER-,EHD2_3,RAB31_3,-0.0183270999625276
ER-,GTSE1_3,UBE2C_3,-0.0182584790098742
ER-,ST8SIA1_3,LRRC4_3,0.0178041183592006
ER-,ABCC11_3,PGM2_3,0.0175713890050301
ER-,ABCA6_3,ABCB1_3,-0.0171166671652861
ER-,IL4I1_3,WWTR1_3,-0.0169433562584419
ER-,LILRB3_3,STX11_3,-0.016711168166923
ER-,COL14A1_3,CD1C_3,-0.0164133234754014
ER-,ABCA8_3,PROS1_3,-0.0160043944794413
ER-,HLA-DOA_3,CD80_3,-0.0157793104477078
ER-,LAPTM5_3,PLAUR_3,-0.0155224615904954
ER-,IL4I1_3,LILRB3_3,-0.0151758663846431
ER-,TLR4_3,LILRB3_3,-0.0149627850929502
ER-,BUB1B_3,MAD2L1_3,-0.014743290292414
ER-,IL2RA_3,HLA-DOA_3,-0.0147370316759638
ER-,PGM2_3,BMP4_3,0.0141553571521433
ER-,ABCC11_3,GABRD_3,-0.0138699117447624
ER-,RPS6KA2_3,BMP4_3,-0.0126417047080749
ER-,CALD1_3,GPR161_3,-0.0122918319254694
ER-,WWTR1_3,PGM2_3,-0.0119821177897417
ER-,SNAP23_3,CTSS_3,-0.0118993735122753
ER-,BLM_3,RAD51_3,-0.0115137899871501
ER-,BLM_3,RAD54L_3,-0.0113269556186644
ER-,LILRB3_3,LCP2_3,-0.0111250973060942
ER-,BLM_3,MAD2L1_3,-0.0110003726102596
ER-,FUT5_3,COQ3_3,0.010890677464281
ER-,CRAT_3,TBL1Y_3,-0.00967188153531083
ER-,C3_3,HGF_3,-0.00809103839678132
ER-,UBE2C_3,RAD51_3,-0.00744211728856116
ER-,PVR_3,SPTLC2_3,0.00718850859065176
ER-,PTTG1_3,CDC25C_3,-0.00698700718287631
ER-,PTTG1_3,BUB1_3,-0.00651704638545068
ER-,COL14A1_3,MT1B_3,-0.00640012782663837
ER-,ZYX_3,SERPINF1_3,-0.00621427144489469
