SampleGroup,RNASeq1,RNAseq2,Value
ER+,WIPF1_3,SNRPD2_1,-0.181024797391887
ER+,GTSE1_3,ATP5L_1,-0.180098462177696
ER+,NUP188_3,ALDOA_1,-0.179192232900242
ER+,PLK1_3,EHD1_1,-0.179090552350844
ER+,CTSB_3,EIF1_1,-0.178492340343397
ER+,TLR4_3,UQCRB_1,-0.178223410645127
ER+,C1QB_3,CNOT3_1,-0.177771053602054
ER+,ABCA6_3,TUBA1B_1,-0.17752141971432
ER+,NUP188_3,UQCRB_1,-0.177358732584606
ER+,RAD51_3,TBL3_1,-0.177253143535144
ER+,GLI2_3,DCP2_1,-0.177120665167151
ER+,ATP5B_3,HNRNPU_1,-0.175094980467622
ER+,PROS1_3,ELK1_1,-0.174628201277903
ER+,DPYD_3,MCAT_1,-0.173622468398191
ER+,TBXA2R_3,UBE2L3_1,-0.172734143393891
ER+,HLA-DOA_3,EIF6_1,-0.171805821755944
ER+,ABCA8_3,GPI_1,-0.170229553598289
ER+,CD4_3,ARPC3_1,-0.170037932922037
ER+,EHD2_3,ALDOA_1,-0.169950308092061
ER+,TBL3_3,HIBADH_1,-0.167400620409319
ER+,GP1BB_3,UQCRC2_1,-0.167259627462668
ER+,PROS1_3,TRA2A_1,-0.166720468089891
ER+,HCLS1_3,UBA1_1,-0.166669081034171
ER+,BUB1B_3,SF3B2_1,-0.166471460787574
ER+,HLA-DOA_3,DDX42_1,0.166145112014725
ER+,RAD51_3,SH3GL1_1,0.166000390398288
ER+,FOXM1_3,ATG3_1,-0.165841315244938
ER+,NBR1_3,EIF3C_1,-0.165619098054504
ER+,TLR4_3,CHMP4B_1,-0.164751851632713
ER+,EIF4G1_3,ALDOA_1,-0.164280249479021
ER+,LAPTM5_3,RAD23A_1,-0.163698844373744
ER+,TUBA1C_3,NAPA_1,-0.162811218715001
ER+,PKMYT1_3,CNOT3_1,-0.162560327240019
ER+,FLNA_3,CWC15_1,-0.162384746234049
ER+,DBF4_3,CHMP4B_1,-0.16232471679068
ER+,CDC25C_3,ATG3_1,-0.162237469091764
ER+,TBXA2R_3,RNASEH2C_1,-0.161567621424068
ER+,COX6A2_3,CDC34_1,-0.16152960842575
ER+,GSPT1_3,SSU72_1,-0.161323599250552
ER+,C1QB_3,ATG12_1,-0.160770298866758
ER+,UBE2C_3,TRA2A_1,-0.160726437763428
ER+,CFH_3,TUBA1C_1,-0.160611861212844
ER+,PTTG1_3,CHMP4B_1,-0.15940651941753
ER+,PDCD1_3,SF3B5_1,-0.157604432788309
ER+,CHST3_3,CAPZB_1,-0.157246385742696
ER+,PRR5_3,COX7A2L_1,-0.156754594334961
