SampleGroup,RNASeq1,RNAseq2,Value
ER+,DNASE2_1,RNASEH2C_1,-0.0928202669298696
ER+,HSPD1_1,ATP5G3_1,-0.0924298364570943
ER+,HNRNPC_1,TAF10_1,-0.0924228270043201
ER+,EIF1_1,TBL3_1,-0.0924142087698919
ER+,HNRNPA1_1,RIOK2_1,-0.092227068991975
ER+,COX6B1_1,EIF3CL_1,-0.0919703038125802
ER+,TUBA1B_1,UBA1_1,-0.0914101275582738
ER+,COX6B1_1,EIF1AX_1,-0.0910128570500691
ER+,PRDX5_1,EIF3CL_1,-0.0908545943957125
ER+,SNRPD1_1,RRAGA_1,-0.0908332014271763
ER+,HNRNPC_1,HNRNPU_1,-0.0900080944008864
ER+,EIF5B_1,WIPI2_1,-0.0899706641264023
ER+,EIF3CL_1,COX8A_1,-0.0894377941805905
ER+,TXNL4A_1,YARS_1,-0.0894145796302246
ER+,GAPDH_1,NOP56_1,-0.0889751295944113
ER+,YARS_1,PDHA1_1,-0.0888751051608436
ER+,PRDX5_1,EIF1AX_1,-0.0884973824627331
ER+,EIF2S3_1,GPI_1,-0.0884903995288385
ER+,GAPDH_1,UQCRC1_1,-0.0884852799542067
ER+,TOMM7_1,EIF3C_1,-0.0882623521441501
ER+,COX8A_1,GEMIN7_1,-0.0880208974199877
ER+,HSD17B10_1,EHD1_1,-0.0875012639474217
ER+,DNASE2_1,SNRNP70_1,-0.0873238001864048
ER+,DKC1_1,EIF3C_1,-0.0871300662105016
ER+,HNRNPA1L2_1,SH3GL1_1,-0.0867933131947548
ER+,ATP5E_1,GEMIN8_1,-0.0867724207452952
ER+,FTH1_1,COX6A1_1,0.0867322551742414
ER+,SHFM1_1,FIS1_1,-0.0867251010037939
ER+,EIF1_1,CNOT3_1,-0.0861480730994772
ER+,NARS_1,EIF1_1,-0.0860944715205569
ER+,DCP2_1,MPV17L2_1,-0.0854794417943419
ER+,STUB1_1,GEMIN7_1,-0.0854692763053386
ER+,FUCA2_1,TRA2A_1,-0.0853568620036828
ER+,ARF5_1,SH3GL1_1,0.0852854881579859
ER+,EHD1_1,RNASEH2C_1,-0.084595926753299
ER+,HSD17B10_1,NOP10_1,-0.084595319194097
ER+,SNRPA_1,UQCRC2_1,-0.0840195198617001
ER+,PGK1_1,FUNDC1_1,-0.0836697581198388
ER+,TCOF1_1,NOP58_1,-0.0833264276257129
ER+,HNRNPC_1,ATP5A1_1,-0.0832415684952824
ER+,TRA2B_1,ATP5J_1,-0.083022783368281
ER+,YARS_1,COX5A_1,-0.0830152505283834
ER+,SHFM1_1,NAPA_1,-0.0829726365311097
ER+,COX4I1_1,COX7B_1,-0.0829643737803794
ER+,RBBP4_1,SNRPD2_1,-0.0827738596693188
ER+,HNRNPA1_1,UQCRB_1,-0.0825344043901195
ER+,UQCRC1_1,YWHAE_1,-0.0818093087038041
ER+,PRDX1_1,EIF3C_1,-0.0817694046607512
ER+,HSP90B1_1,DKC1_1,-0.0816874508696707
ER+,FARSB_1,ATP5G3_1,-0.0808958374957755
ER+,HNRNPC_1,APEX1_1,-0.0804833292997969
ER+,HSP90B1_1,SNRPG_1,-0.0803992183144219
ER+,ATP5L_1,ATP5H_1,-0.0803716925214844
ER+,HSPD1_1,DKC1_1,-0.0800806080649692
ER+,NARS_1,ELK1_1,-0.0799429750270016
ER+,EIF1AX_1,SNRPD3_1,-0.0791902482143536
ER+,HSPD1_1,NOP56_1,-0.0787214535457084
ER+,UBE2D2_1,COX7A2L_1,-0.0784009528061196
ER+,UQCRH_1,CIRH1A_1,-0.0782561049827692
ER+,HSP90B1_1,TCOF1_1,-0.0779683562362945
ER+,ATP5G3_1,PEX13_1,-0.0779539738033185
ER+,ARPC5L_1,YARS_1,-0.0771360525298263
ER+,TRA2A_1,EIF3C_1,-0.0766210010406882
ER+,EIF1AX_1,UQCR10_1,-0.076586482348451
ER+,NARS_1,UQCRH_1,-0.076579221816224
ER+,COX4I1_1,SHFM1_1,-0.076557038087388
ER+,PARP2_1,ALDOA_1,-0.0761136179900253
ER+,EIF3CL_1,ATP5H_1,-0.0757645201596478
ER+,HNRNPA1_1,CHMP4B_1,-0.0757119388582687
ER+,KARS_1,EMG1_1,-0.0754519589105945
ER+,COX7C_1,CHMP4B_1,-0.0754039609757806
ER+,NPRL2_1,CWC15_1,-0.0751931303334182
ER+,SSU72_1,ATP5E_1,0.0750730228046247
ER+,HSD17B10_1,ATP5J2_1,-0.074791784014194
ER+,UQCRFS1_1,ATP5G2_1,-0.074498825148426
ER+,TRA2B_1,UBE2M_1,-0.0744586217110352
ER+,UQCRFS1_1,ARF5_1,-0.0744063457114222
ER+,ATP5G3_1,COX5A_1,-0.0743193667950605
ER+,ATP5E_1,CNOT3_1,-0.074280814975863
ER+,TRA2B_1,ARPC3_1,-0.0741576537281119
ER+,GAPDH_1,PRDX1_1,-0.0741522631381942
ER+,TXNL4A_1,TUBA1B_1,-0.0737703936075707
ER+,UQCRB_1,ARPC3_1,-0.0734380002537825
ER+,EIF1AX_1,ATP5H_1,-0.0734373363794058
ER+,NOP10_1,NAPA_1,-0.0734064943308132
ER+,SNRPD1_1,SSU72_1,-0.073240265202098
ER+,UQCRB_1,ELK1_1,-0.0732053933378234
ER+,TCOF1_1,YWHAE_1,-0.0731784330045237
ER+,NPRL2_1,NAPA_1,-0.0725225419195858
ER+,ARPC3_1,SF3B5_1,-0.0724794983581817
ER+,EIF5B_1,ATG3_1,-0.0723148560962198
ER+,COX7B_1,EIF6_1,-0.0720030825184737
ER+,FARSB_1,SNRPG_1,-0.0719211098840912
ER+,EMG1_1,PIGY_1,0.0718532127588058
ER+,U2AF1_1,EIF1_1,-0.0718472199250415
ER+,ATP5C1_1,EIF2S3_1,-0.0717718328161066
ER+,UQCRQ_1,TBL3_1,-0.0714913236890767
ER+,EIF5B_1,GEMIN8_1,-0.0711318425092311
ER+,NPRL2_1,YWHAE_1,-0.0706473800266225
ER+,UBE2D2_1,UQCRFS1_1,-0.0702819003793419
ER+,NOP56_1,EIF3CL_1,-0.0702570053905034
ER+,UQCRFS1_1,COX7A2L_1,-0.0700296251408646
ER+,UBE2L3_1,FUNDC1_1,-0.0698889578678039
