SampleGroup,mRNA,RNAseq,Value
ER+,SQRDL_3,COX6B1_1,2.09577257856963
ER+,SQRDL_3,U2AF1_1,2.08831127563759
ER+,SQRDL_3,SHFM1_1,2.08814403779705
ER+,SQRDL_3,ALDOA_1,2.07274127245073
ER+,SQRDL_3,SOD1_1,2.06199174836424
ER+,SQRDL_3,FARSB_1,2.0592560666806
ER+,CYP7B1_3,ATP5E_1,2.04517935524103
ER+,SQRDL_3,NOP10_1,2.03783312181028
ER+,SQRDL_3,ARHGDIA_1,2.03159927011016
ER+,PGM2_3,ALDOA_1,-2.02876769704644
ER+,CYP7B1_3,GAPDH_1,2.02702366483755
ER+,SQRDL_3,RNASEH2C_1,2.02242726516978
ER+,SQRDL_3,ATP5H_1,2.01457186338206
ER+,SQRDL_3,TCOF1_1,2.01433550422999
ER+,SQRDL_3,TXNL4A_1,2.00260249972566
ER+,KCNN3_3,ATP5E_1,-1.99963218889897
ER+,PGM2_3,HNRNPK_1,-1.99685320550593
ER+,PGM2_3,SNRPD3_1,-1.99078959163409
ER+,SQRDL_3,PDHA1_1,1.98866380114568
ER+,SQRDL_3,FIS1_1,1.98826291563601
ER+,SQRDL_3,UQCRB_1,1.98377327370516
ER+,SQRDL_3,HIBADH_1,1.98325176513243
ER+,SQRDL_3,UQCRQ_1,1.96787649923036
ER+,SQRDL_3,CWC15_1,1.96613376332895
ER+,SQRDL_3,PRDX5_1,1.94515458672009
ER+,SQRDL_3,PEX13_1,1.94300709564952
ER+,SQRDL_3,DCP2_1,1.93881694406955
ER+,SQRDL_3,P2RX5_1,1.92872324870046
ER+,SQRDL_3,COX5A_1,1.91975205390841
ER+,SQRDL_3,PQBP1_1,1.91142127588244
ER+,PTPLAD2_3,UBE2M_1,1.90238583234479
ER+,SQRDL_3,COX5B_1,1.89975893936039
ER+,CYP7B1_3,HSP90B1_1,1.88515452100729
ER+,CYP7B1_3,CNOT3_1,1.87129817618473
ER+,PGM2_3,HNRNPA3_1,-1.86824855292228
ER+,ST3GAL6_3,APEX1_1,-1.8606359398783
ER+,SQRDL_3,ARPC5L_1,1.82764819854532
ER+,PGM2_3,RNF7_1,-1.8245624005109
ER+,SQRDL_3,ATP5B_1,1.80508199886263
ER+,CYP7B1_3,GEMIN8_1,1.80293926007288
ER+,SQRDL_3,TRA2A_1,1.80019921981252
ER+,SQRDL_3,SNRNP70_1,1.79123599927673
ER+,KCNN3_3,COX7C_1,-1.78873703207447
ER+,PGM2_3,SOD1_1,-1.7828156597543
ER+,SQRDL_3,SH3GL1_1,-1.77719222469481
ER+,CYP7B1_3,PRDX1_1,1.77334334846779
ER+,SQRDL_3,UQCR10_1,1.75746357404272
ER+,SQRDL_3,GARS_1,1.75128140354376
ER+,SQRDL_3,HSPA9_1,1.74633410086009
ER+,KCNN3_3,ATG3_1,-1.74430924672851
ER+,KCNN3_3,CHMP4B_1,-1.7422070786971
ER+,SQRDL_3,GEMIN7_1,1.73665947336375
ER+,SQRDL_3,RRAGA_1,1.72149990861168
ER+,CYP7B1_3,PRPF31_1,1.71916666264714
ER+,CYP7B1_3,ATG12_1,1.71573168160236
ER+,SQRDL_3,UBE2D2_1,1.7144510427024
ER+,SQRDL_3,EIF1_1,1.71020886611512
ER+,SQRDL_3,CDC34_1,1.70362382813861
ER+,SQRDL_3,GGPS1_1,1.70159210676086
ER+,CYP7B1_3,KARS_1,1.69973960011735
ER+,SQRDL_3,MPV17L2_1,1.69965356669811
ER+,SQRDL_3,AP1S1_1,1.69573752552568
ER+,CH25H_3,ATP5G3_1,-1.6849540353088
ER+,SQRDL_3,ATP5C1_1,1.667305582748
ER+,KCNN3_3,ARHGDIA_1,-1.66607490394191
ER+,ST3GAL6_3,ATP5O_1,-1.66123564125896
ER+,KCNN3_3,UBE2D2_1,-1.6556649356141
ER+,CYP7B1_3,CAPZB_1,1.65109436540039
ER+,SQRDL_3,SNRPD3_1,1.64587179395549
ER+,CYP7B1_3,TRA2A_1,1.64138809887011
ER+,CYP7B1_3,HMGB1_1,1.63374584251081
ER+,CYP7B1_3,NARS_1,1.63138224241324
ER+,CYP7B1_3,HSPD1_1,1.63082666298921
ER+,CYP7B1_3,HNRNPA3_1,1.6277995155516
ER+,SQRDL_3,UQCRFS1_1,1.62566325327055
ER+,CYP7B1_3,TRA2B_1,-1.62531364086032
ER+,CYP7B1_3,CD63_1,1.62531123595095
ER+,CYP7B1_3,ARPC2_1,1.61836110618532
ER+,CYP7B1_3,TUBA1B_1,1.61724561169486
ER+,KCNN3_3,ARF5_1,-1.61493288949687
ER+,PGM2_3,AP1S1_1,-1.61326486103503
ER+,SQRDL_3,TBL3_1,1.61273851262298
ER+,PGM2_3,UQCR10_1,-1.61218941381621
ER+,TAF9_3,COX7C_1,-1.58322643880498
ER+,CYP7B1_3,SF3B2_1,1.58104681505223
ER+,KCNN3_3,UQCRFS1_1,-1.579843400306
ER+,HSD17B6_3,ALDOA_1,1.57438263409071
ER+,CYP7B1_3,GPI_1,1.55934650513229
ER+,CYP7B1_3,FUCA2_1,1.55910757654386
ER+,TAF9_3,PRPF31_1,-1.55799402445187
ER+,ST3GAL6_3,HNRNPC_1,-1.55252290072772
ER+,PGM2_3,ATP5G2_1,-1.5507051409957
ER+,CYP7B1_3,SNRPD1_1,1.54989292649199
ER+,PGM2_3,FTL_1,-1.54435135886534
ER+,CYP7B1_3,EPN1_1,1.53295575485619
ER+,CYP7B1_3,RIOK2_1,1.52907987590098
ER+,CYP7B1_3,NOP56_1,1.52639350440366
ER+,TAF9_3,RIOK2_1,-1.52254742175436
ER+,CYP7B1_3,EIF2S3_1,1.51948079040004
ER+,SQRDL_3,MCAT_1,1.5174106160253
ER+,CYP7B1_3,EIF3I_1,1.51280804878384
ER+,CYP7B1_3,EIF3CL_1,1.51272724403357
ER+,CYP7B1_3,WARS_1,1.50829505434577
ER+,KCNN3_3,TUBA1B_1,-1.50692745030222
ER+,GTF2A1_3,TRA2B_1,1.50676209441024
ER+,CYP7B1_3,COX4I1_1,1.50224941502056
ER+,PGM2_3,HMGB1_1,-1.49502430045776
ER+,KCNN3_3,RAD23A_1,-1.4875643554971
ER+,KCNN3_3,ATP5O_1,-1.48647364573992
ER+,CYP7B1_3,UQCRC1_1,1.48613108677519
ER+,CYP7B1_3,TUBA1C_1,1.48385661620495
ER+,SQRDL_3,UQCRC2_1,1.48066800078504
ER+,CYP7B1_3,UBA1_1,1.47959129117285
ER+,CYP7B1_3,SNRPB_1,1.4795252432849
ER+,CYP7B1_3,EIF6_1,1.47750801392196
ER+,KCNN3_3,ATP5G2_1,-1.47359772353291
ER+,PGM2_3,UQCRB_1,-1.47295012698958
ER+,SQRDL_3,HNRNPU_1,1.47217174858509
ER+,CYP7B1_3,SNRPG_1,1.46856020786473
ER+,SQRDL_3,VAMP8_1,1.46658606747932
ER+,CYP7B1_3,HNRNPC_1,1.45495451969002
ER+,CYP7B1_3,EIF3C_1,1.45459839172882
ER+,CYP7B1_3,COX8A_1,1.45155497231488
ER+,PTPLAD2_3,RARS_1,1.44967386313053
ER+,CYP7B1_3,PRDX5_1,1.44616464443157
ER+,CYP7B1_3,SOD1_1,1.4445336637823
ER+,CYP7B1_3,GARS_1,1.43784507916163
ER+,CYP7B1_3,YWHAE_1,1.43154176876527
ER+,CYP7B1_3,ARHGDIA_1,1.43028269334943
ER+,CYP7B1_3,EIF1AX_1,1.42210807834794
ER+,CH25H_3,TRA2B_1,1.42063855115898
ER+,CYP7B1_3,ATP5H_1,1.41321548296244
ER+,SQRDL_3,EIF5B_1,1.40854989075468
ER+,CYP7B1_3,COX5A_1,1.40750995733162
ER+,CYP7B1_3,PDHA1_1,1.40354000170988
ER+,CYP7B1_3,COX6B1_1,1.40176694562657
ER+,CYP7B1_3,YARS_1,1.40016655265814
ER+,CYP7B1_3,HSPA9_1,1.39686510124558
ER+,CYP7B1_3,HNRNPA1_1,1.39152989624794
ER+,XPA_3,RAD23A_1,1.39078590525252
ER+,CYP7B1_3,BUD31_1,1.38994912798061
ER+,CYP7B1_3,NAPA_1,1.38930381860734
ER+,CYP7B1_3,DKC1_1,1.38494219947142
ER+,CYP7B1_3,STUB1_1,1.38114897314958
ER+,SQRDL_3,COX7C_1,1.37638074021957
ER+,CYP7B1_3,SHFM1_1,1.37430274184501
ER+,SQRDL_3,RARS_1,1.37228479864049
ER+,SQRDL_3,RNF7_1,1.36917623924303
ER+,CYP7B1_3,PEX13_1,1.36860881433712
ER+,CYP7B1_3,FIS1_1,1.36751737722859
ER+,CYP7B1_3,HIBADH_1,1.36257274633084
ER+,KCNN3_3,TOMM7_1,-1.35399784783999
ER+,CYP7B1_3,FARSB_1,1.35322262200422
ER+,CYP7B1_3,TCOF1_1,1.35302691877645
ER+,CYP7B1_3,ATP5J2_1,1.3528125207566
ER+,CYP7B1_3,UBE2L3_1,1.35142450224637
ER+,CYP7B1_3,CWC15_1,1.34938733512249
ER+,PGM2_3,COX6B1_1,-1.34772645674713
ER+,CYP7B1_3,PQBP1_1,1.34348515613923
ER+,CYP7B1_3,ELK1_1,1.34324994689368
ER+,CYP7B1_3,DCP2_1,1.34255950439065
ER+,BDH2_3,CIRH1A_1,1.33736606851035
ER+,PGM2_3,PRDX5_1,-1.33646102045329
ER+,CYP7B1_3,UQCRC2_1,1.33389772865374
ER+,CYP7B1_3,NOP58_1,1.33242953419739
ER+,CYP7B1_3,UQCR10_1,1.32565374279988
ER+,PTPLAD2_3,EIF5B_1,1.31893442327425
ER+,PTPLAD2_3,CNOT3_1,1.31555484399066
ER+,CYP7B1_3,ARPC5L_1,1.31538569462883
ER+,PGM2_3,ATP5L_1,-1.30671973703324
ER+,HSD17B6_3,TRA2B_1,1.30556467310724
ER+,CYP7B1_3,NOP10_1,1.30390488867972
ER+,CYP7B1_3,FTL_1,1.30261706650189
ER+,PTPLAD2_3,ATG3_1,1.30146691966567
ER+,CYP7B1_3,ATP5B_1,1.29177272386469
ER+,TAF9_3,UBE2M_1,-1.28987987411045
ER+,SQRDL_3,ATP5L_1,1.28847358684954
ER+,CYP7B1_3,TXNL4A_1,1.28724176739597
ER+,CYP7B1_3,ALDOA_1,1.28170160460425
ER+,CYP7B1_3,U2AF1_1,1.27976903497713
ER+,HSD17B6_3,PARP2_1,1.2779001835888
ER+,PGM2_3,COX5B_1,-1.27740743213521
ER+,CYP7B1_3,COX5B_1,1.27442090055877
ER+,SQRDL_3,HNRNPA1_1,1.27267847329335
ER+,PGM2_3,ATP5H_1,-1.27211472230933
ER+,CYP7B1_3,SDHB_1,1.27067579003287
ER+,CYP7B1_3,ATP5A1_1,1.26913368635274
ER+,KCNN3_3,GARS_1,-1.26791253870232
ER+,PTPLAD2_3,ATG12_1,1.26374544623364
ER+,MCAT_3,MCAT_1,1.25930958565589
ER+,KCNN3_3,UQCRC2_1,-1.25786110423239
ER+,CH25H_3,TBL3_1,-1.25624849619436
ER+,PTPLAD2_3,HNRNPA1L2_1,1.25589146796184
ER+,CYP7B1_3,P2RX5_1,1.25443850729545
ER+,CYP7B1_3,AP1S1_1,1.25219639358551
ER+,CYP7B1_3,SNRPD2_1,1.25141474495064
ER+,SQRDL_3,CD63_1,1.24271351241951
ER+,CYP7B1_3,UBE2D2_1,1.23466361913516
ER+,PGM2_3,ATG3_1,-1.23270310709277
ER+,CYP7B1_3,UQCRQ_1,1.23040376002307
ER+,SQRDL_3,UQCRH_1,1.22682587093258
ER+,CH25H_3,UQCRH_1,-1.2171833851029
ER+,CYP7B1_3,HSD17B10_1,1.21481637968878
ER+,HSD17B6_3,UQCRQ_1,1.21161788265648
ER+,CYP7B1_3,SNRPD3_1,1.21054894327572
ER+,CYP7B1_3,NPRL2_1,1.2077670114386
ER+,CH25H_3,GAPDH_1,-1.19331039810822
ER+,CH25H_3,GGPS1_1,-1.18738397232048
ER+,KCNN3_3,CD63_1,-1.18394054791124
ER+,CYP7B1_3,CDC34_1,1.18149841984249
ER+,CH25H_3,EIF1_1,-1.17731295595537
ER+,PGM2_3,SH3GL1_1,-1.16544704409029
ER+,CYP7B1_3,ATP5G2_1,1.16163927352496
ER+,CYP7B1_3,DNASE2_1,1.1607616426526
